1             //load
1             //load
2             //shift right
2             //shift right
5             //shift down
5             //shift down
3             //shift left
5             //shift down
3             //shift left
3             //shift left
4             //shift up
4             //shift up
3             //shift left
4             //shift up
1             //load
3             //shift left
4             //shift up
4             //shift up
2             //shift right
4             //shift up
2             //shift right
4             //shift up
2             //shift right
5             //shift down
2             //shift right
2             //shift right
5             //shift down
5             //shift down
5             //shift down
1             //load
